Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-arxiv,Simulation-8,35,2.4470,1.4846,0.5888,0.6085,0.6061
ogbn-arxiv,Simulation-8,36,2.5108,1.4716,0.5912,0.6109,0.6085
ogbn-arxiv,Simulation-8,37,2.5747,1.4590,0.5940,0.6138,0.6104
ogbn-arxiv,Simulation-8,38,2.6401,1.4477,0.5963,0.6153,0.6132
ogbn-arxiv,Simulation-8,39,2.7035,1.4350,0.5984,0.6173,0.6145
ogbn-arxiv,Simulation-8,40,2.7678,1.4244,0.6003,0.6185,0.6162
ogbn-arxiv,Simulation-8,41,2.8333,1.4149,0.6023,0.6206,0.6178
ogbn-arxiv,Simulation-8,42,2.8973,1.4055,0.6039,0.6211,0.6192
ogbn-arxiv,Simulation-8,43,2.9602,1.3959,0.6058,0.6217,0.6211
ogbn-arxiv,Simulation-8,44,3.0236,1.3879,0.6074,0.6233,0.6225
ogbn-arxiv,Simulation-8,45,3.0872,1.3810,0.6095,0.6246,0.6236
ogbn-arxiv,Simulation-8,46,3.1511,1.3722,0.6107,0.6261,0.6252
ogbn-arxiv,Simulation-8,47,3.2170,1.3644,0.6124,0.6274,0.6261
ogbn-arxiv,Simulation-8,48,3.2815,1.3574,0.6138,0.6293,0.6277
ogbn-arxiv,Simulation-8,49,3.3466,1.3508,0.6152,0.6302,0.6292
ogbn-arxiv,DDP-8,00,0.6157,3.6440,0.1223,0.2370,0.2292
ogbn-arxiv,DDP-8,01,0.6266,3.5422,0.2147,0.2755,0.2493
ogbn-arxiv,DDP-8,02,0.6365,3.4319,0.2609,0.2929,0.2627
ogbn-arxiv,DDP-8,03,0.6458,3.3080,0.2683,0.2860,0.2587
ogbn-arxiv,DDP-8,04,0.6549,3.1797,0.2504,0.2424,0.2145
ogbn-arxiv,DDP-8,05,0.6641,3.0630,0.2193,0.1655,0.1381
ogbn-arxiv,DDP-8,06,0.6730,2.9798,0.1965,0.1121,0.0880
ogbn-arxiv,DDP-8,07,0.6816,2.9388,0.1904,0.0972,0.0760
ogbn-arxiv,DDP-8,08,0.6902,2.9169,0.1961,0.1102,0.0869
ogbn-arxiv,DDP-8,09,0.6991,2.9014,0.2192,0.1633,0.1369
ogbn-arxiv,DDP-8,10,0.7076,2.8732,0.2486,0.2345,0.2107
ogbn-arxiv,DDP-8,11,0.7162,2.8338,0.2648,0.2771,0.2511
ogbn-arxiv,DDP-8,12,0.7249,2.7963,0.2726,0.2905,0.2635
ogbn-arxiv,DDP-8,13,0.7333,2.7588,0.2763,0.2964,0.2672
ogbn-arxiv,DDP-8,14,0.7418,2.7285,0.2793,0.2987,0.2690
