Dataset,Method,Epoch,Time,x,Train,Val,Test
flickr,DDP-8,39,0.8841,1.4325,0.5034,0.4974,0.4975
flickr,DDP-8,40,0.9046,1.4266,0.5048,0.4972,0.4987
flickr,DDP-8,41,0.9250,1.4268,0.5043,0.4983,0.4981
flickr,DDP-8,42,0.9454,1.4231,0.5063,0.4971,0.4989
flickr,DDP-8,43,0.9658,1.4196,0.5063,0.4986,0.4987
flickr,DDP-8,44,0.9862,1.4146,0.5075,0.4987,0.4991
flickr,DDP-8,45,1.0069,1.4126,0.5079,0.4993,0.4990
flickr,DDP-8,46,1.0274,1.4090,0.5073,0.4986,0.4993
flickr,DDP-8,47,1.0477,1.4070,0.5093,0.4988,0.4990
flickr,DDP-8,48,1.0682,1.4044,0.5088,0.4988,0.4986
flickr,DDP-8,49,1.0887,1.3988,0.5098,0.4994,0.4986
